カテゴリ,質問ID,質問,補足・例,ご回答,,Raw data(Gemini),Raw data 古川メモ,Raw data 画面録画
ビジネスゴール・ユースケース,1-1,このプロジェクトで、経営として一番達成したいことは何ですか？,例：重機コストの見える化 / 故障予防 / 配車・稼働効率の最大化 など,"各重機の故障率を出す。
買い替えの時期を推測する

AIを使ったMLモデルを作れるようになる
こうゆうのもやりたい =>燃料などの消耗品の来期予測をしたい

社長は買い替えサイクルは予測できる
整備部署の所長は予測できないから、現場レイヤーで判断できるようにしたい

メンテナンスコストがかかってなく、故障リスクが低い重機を推薦している
",,https://docs.google.com/document/d/12L2nT1SLUyr-vkwrW5Irzaxe7Zyl_tS9RfrkLpoqOtg/edit?usp=sharing,"雑めも
kintone上にメンテ記録を記載する形
重機マスタ
SKから始まるものはコベルコ
ZXは日立
重機の大きさ550の部分は（大きければ大型の機械になる
５５０は中型サイズである
日立、コベルコの銃器のサイズ感が同じ
SRDLCの数値部分は機械自体は一緒だとアームが違う
重機クラスで見るならSKxxxまで、その後はSRDLCは性能やアームの構造で確認する形
シリアルはユニーク番号になっている
社内では管理番号をメインで見ている
特自検 => 自社で行う検定（整備士の資格を持っている人間が整備する）
入庫、整備状況
ステータスの識別は変えてもいい
稼働率をかけていないものもある
重機劣化度に関しては、カラムがあるけど、定義がない
メンテナンス記録アプリ（２種類ある）
アワーメーター確認アプリ
現場名がマスタ化していない
現場名がマスタ化できていない => 整備班が地域別に記録している
NFCで重機の現場から入力させるような仕組みにしようと考えている
本社事務が行う整備指示
アワーメーターアプリと連携して、稼働時間までは取れるようにする
細かいメンテナンス指示を行う
現場担当者に指示を行えるようにしたい
保存ボタンを押したら、現場整備作業員の端末に指示が飛ぶような形にしたい
交換したオイルの量の確認など、与実管理をできるようにしたい（与実確認や後々の請求にやてだてる）
目的: 作業伝票、報告書と請求書の自動作成を行えるようにしたい
故障に到そうな重機のフラグ計算したい
目的
各重機の故障率を出す。
買い替えの時期を推測する
AIを使ったMLモデルを作れるようになる
社長は買い替えサイクルは予測できる
整備部署の所長は予測できないから、現場レイヤーで判断できるようにしたい
メンテナンスコストがかかってなく、故障リスクが低い重機を推薦している
アタッチメント記録アプリ
整備頻度が高い
鉄を溶接して肉盛りをする鋭い歯にする
故障しやすいもの、人気なものがある
200本くらいある
費用対効果の計算もしたい（重機も然り）
ログとして確保して、エビデンスとして確保したい
組み合わせ
メンテタイミングの観点だと、別々でいいが、
どの組み合わせが相性がいいかは判断する
要望
消耗品が簡単に出てない
どのタイプがどの程度使われたか
記録が残っていない
消耗品の仕入れ状況などを次年度予測できるようにしたい
消耗品マスタもゆくゆくは必要になっていくイメージ
年度や月毎などの規模からの案件規模の予測は？
建物のボリューム
RC増で延べどのくらいあるか
重機であれば組み合わせが組み合わせ
提言
AIでマシーンラーニングさせるところまで提案できると良さそう
Step1,2の踏み方が良さそう
職人の肌感覚を定量的に客観化したい
稼働率から、重機リースをしてもいいかもしれない
memo
ログからAIを使った方が良さそう
アノテーション頑張る
一年、二年くらいで頑張って、コベルコに売ってしまった方が良さそう
重機から吐き出されている情報
コベルコ telematicsでログとれて
故障
完全な故障は取っていない
不動になることがない
故障項目を洗い出し、その項目のチェック数から出せると良さそう
閾値を
頻度
1日1回 => 突然聞かれることがあるから、２、３時間に1回でもいいかも
ipadで確認できると良さそう
UI
まとめ
重機タブ
アタッチメントタブ
外部システム
kintone
aws, azure
lamdaも使っている
開発チームはslackでやっている
通知系はLINE通知を送っている
コミュニケーションは社内はzoom
来週は
企画部長
副社長様が同席される
AIの予測結果が表示されていると良さそう
14:45
雑めも
kintone上にメンテ記録を記載する形
重機マスタ
SKから始まるものはコベルコ
ZXは日立
重機の大きさ550の部分は（大きければ大型の機械になる
５５０は中型サイズである
日立、コベルコの銃器のサイズ感が同じ
SRDLCの数値部分は機械自体は一緒だとアームが違う
重機クラスで見るならSKxxxまで、その後はSRDLCは性能やアームの構造で確認する形
シリアルはユニーク番号になっている
社内では管理番号をメインで見ている
特自検 => 自社で行う検定（整備士の資格を持っている人間が整備する）
入庫、整備状況
ステータスの識別は変えてもいい
稼働率をかけていないものもある
重機劣化度に関しては、カラムがあるけど、定義がない
メンテナンス記録アプリ（２種類ある）
アワーメーター確認アプリ
現場名がマスタ化していない
現場名がマスタ化できていない => 整備班が地域別に記録している
NFCで重機の現場から入力させるような仕組みにしようと考えている
本社事務が行う整備指示
アワーメーターアプリと連携して、稼働時間までは取れるようにする
細かいメンテナンス指示を行う
現場担当者に指示を行えるようにしたい
保存ボタンを押したら、現場整備作業員の端末に指示が飛ぶような形にしたい
交換したオイルの量の確認など、与実管理をできるようにしたい（与実確認や後々の請求にやてだてる）
目的: 作業伝票、報告書と請求書の自動作成を行えるようにしたい
故障に到そうな重機のフラグ計算したい
目的
各重機の故障率を出す。
買い替えの時期を推測する
AIを使ったMLモデルを作れるようになる
社長は買い替えサイクルは予測できる
整備部署の所長は予測できないから、現場レイヤーで判断できるようにしたい
メンテナンスコストがかかってなく、故障リスクが低い重機を推薦している
アタッチメント記録アプリ
整備頻度が高い
鉄を溶接して肉盛りをする鋭い歯にする
故障しやすいもの、人気なものがある
200本くらいある
費用対効果の計算もしたい（重機も然り）
ログとして確保して、エビデンスとして確保したい
組み合わせ
メンテタイミングの観点だと、別々でいいが、
どの組み合わせが相性がいいかは判断する
要望
消耗品が簡単に出てない
どのタイプがどの程度使われたか
記録が残っていない
消耗品の利用状況と、工事規模を組み合わせて一定の期間翌年以降の消耗品必要数を予測したい
頻度
完全故障はない
故障マスタ別途必要
交渉しやすい細かい項目に故障レベルを作って、記録してもいいかも
完全な故障の判断が難しいことから、オイル漏れやアイドリングの不安定など、10項目程度の故障項目を洗い出し、メンテナンス後の不調項目をチェックすることで故障率の統計を取れる
稼働率
肌感覚60%いかないくらい
リースしてもいいんじゃない
衛星データログシステム
コベルコや日立のテレマティックスシステムから、夜中の3時にAPI連携を通じてログデータを取得している
機械情報の細かい情報は取れそう
ダッシュボード構想
複雑なダッシュボードにする必要はなく、情報が出ていれば十分であり、社長にはiPadを渡してそれを見てもらう想定
使える外部システム
AWS, Kintone, azure, LINE works
開発チームはslack
現場メンバーはLINE Worksで連携している",
ビジネスゴール・ユースケース,1-2,代表的なユースケース（誰が・いつ・何を見るか）を3つ程度挙げてください。,例：経営層（月次で全社サマリー）、工事部長（週次で現場別）、メンテ担当（日次で故障リスク）,"① 経営層（月次〜四半期）
　・全社の重機稼働率、整備・消耗品コスト、重機クラス別の収益性／採算性を俯瞰して確認する

② 整備部署（週次〜日次）
　・アワーメーター／テレマティクスログ／メンテ履歴から、故障予兆スコアを確認し、
　　整備指示を発行 → 現場整備担当へLINE Worksなどで通知する

③ 現場担当（日次）
　・担当現場に紐づく重機・アタッチメントの最新状態、直近の整備内容、
　　交換した消耗品とその数量を確認し、与実入力まで行う",,,,
ダッシュボード構成,2-1,どのような画面（ビュー）があると便利そうですか？,例：全社サマリー / 現場別ビュー / 重機個別ビュー,"・全社サマリービュー（重機全体の稼働状況・コスト・故障傾向）
・重機一覧ビュー（クラス別／メーカー別／ステータス別の台数と稼働状況）
・現場別ビュー（現場ごとの稼働台数・入庫台数・整備中台数・工事規模との関係）
・重機個別ビュー（管理番号・型式・シリアル・テレマティクスログ・メンテ履歴・コスト）
・アタッチメントビュー（利用頻度・肉盛り回数・故障傾向・費用対効果）
・消耗品ビュー（種類別の使用量推移と来期必要量の予測）
・AI予測／レコメンドビュー（故障予兆・買い替え推奨・リース推奨など）",,,,
ダッシュボード構成,2-2,それぞれの画面で、必ず置きたい指標・グラフは何ですか？,例：総稼働時間、総コスト、故障件数、ランキング など,"＜全社サマリービュー＞
・重機稼働率（全体・クラス別）
・整備費＋消耗品費を含めた1台あたりコスト
・故障／不調スコア（チェック項目数ベース）
・入庫台数／整備中台数／稼働可能台数

＜重機一覧ビュー＞
・メーカー（コベルコ／日立）、クラス（例：SK235クラス）別台数
・ステータス（稼働中／入庫中／整備中／リース可能）
・稼働時間、アイドリング時間、燃料消費量

＜現場別ビュー＞
・現場ごとの稼働重機台数、延べ稼働時間
・工事規模（構造種別・延べ床面積など）との関係
・現場別の故障件数／整備回数

＜重機個別ビュー＞
・テレマティクスログから集計した日次稼働時間／累計稼働時間
・メンテ履歴（特自検、オイル交換、部品交換など）
・故障コードや不調チェック項目の履歴
・累計コストと、買い替え推奨フラグ

＜アタッチメント／消耗品ビュー＞
・アタッチメントごとの使用回数、肉盛り（修繕）回数、故障・交換履歴
・消耗品別の使用量推移と単価を掛けた金額
・費用対効果の低いアタッチメント／消耗品の抽出",,,,
ダッシュボード構成,2-3,時系列はどの粒度で見たいですか？,日 / 週 / 月 / 四半期 など,"意思決定・レポートは「月次」粒度が基本ですが、
・現場オペレーション：日次
・テレマティクスログ：数時間〜1日単位（夜間バッチでも可）
程度で更新されていれば十分です。

故障予兆や稼働状況の把握の観点では、2〜3時間に1回程度の更新ができると理想的ですが、
初期は1日1回の更新からスタートして問題ありません。",,,,
KPI・指標設計,3-1,一目で分かるべき主要KPIを3〜5個挙げてください。,例：重機稼働率、1台あたり年間コスト、故障発生率 など,"・重機稼働率（全体／クラス別／現場別）
・1台あたり年間トータルコスト（整備費＋消耗品費＋減価償却的な概算）
・故障／不調発生率（チェック項目ベース）
・整備中台数および稼働可能台数
・余剰重機台数（リースに回せるポテンシャル台数）",,,,
KPI・指標設計,3-2,KPIをどの軸で比較できると良いですか？,重機種別 / 現場 / 時期 / メーカー / 年式 など,"・メーカー別（コベルコ／日立など）
・重機クラス／型式別（例：SK235クラス、ZXクラスなど）
・年式／使用年数別
・現場別／地域別
・構造種別（RC造などの工事タイプ）
・案件の受注ランク（A〜Fなど）",,,,
KPI・指標設計,3-3,アラートを出したい条件・閾値はありますか？,例：故障回数◯回/月超、稼働率◯％未満 など,"・故障／不調スコアが一定値を超えた場合
　（例：不調チェック項目の○件以上、一定期間内に同箇所の整備が複数回発生など）
・重機稼働率が閾値を下回った場合
　（例：稼働率40％未満が一定期間続いた重機をリース候補としてアラート）
・特自検期限が近づいた場合
　（例：期限1ヶ月前・1週間前に通知）
・消耗品の使用ペースが想定より大きく乖離した場合
　（異常な使用量／不足リスクの両方）",,,,
分析単位・粒度,4-1,分析・表示の基本単位として、主に使いたいものはどれですか？,重機個体 / 重機種別 / 現場 / 期間 など（複数可）,"・重機個体（管理番号・シリアル単位）
・アタッチメント（種類／個体単位）
・現場（案件）単位
・期間（1日／1週間／1ヶ月）単位

基本は「重機個体×日」を軸にしつつ、
現場単位・重機クラス単位でも集計・比較できる粒度を想定しています。",,,,
分析単位・粒度,4-2,1レコード（データ1行）は何を表すのがよさそうですか？,例：重機×日の稼働実績 / 故障イベント / メンテ作業 など,"基本は「重機×日」の稼働実績を1レコードとし、
その日に紐づくテレマティクスログ（稼働時間・アイドリング時間・燃料消費量）と、
メンテナンス実施状況（有無）を紐づけるイメージです。

別テーブルとして、
・メンテナンス作業単位のレコード
・故障／不調イベント単位のレコード
を持たせることで、イベント分析もできる構成が良いと考えています。",,,,
